frame,substep,stage,energy,maxSpeed,maxSpeedX,maxSpeedY,maxGXV,maxGXVSigned,maxGXVX,maxGXVY,maxGrad,maxGradSigned,maxGradName,maxGradX,maxGradY
270,8,"afterCipVelocity",0.306924283,0.034740396,103,53,0.339572251,0.339572251,79,64,0.339572251,0.339572251,"GXV",79,64
270,8,"afterRhs",0.30691754,0.034733347,103,53,0.339572251,0.339572251,79,64,0.339572251,0.339572251,"GXV",79,64
270,8,"afterNewGradV",0.30691754,0.034733347,103,53,0.339567244,0.339567244,79,64,0.339567244,0.339567244,"GXV",79,64
270,8,"afterNewGradU",0.30691754,0.034733347,103,53,0.339567244,0.339567244,79,64,0.339567244,0.339567244,"GXV",79,64
270,9,"beforeCip",0.30691754,0.034733347,103,53,0.339567244,0.339567244,79,64,0.339567244,0.339567244,"GXV",79,64
270,9,"afterCipVelocity",0.306976115,0.034726565,103,53,0.341293871,0.341293871,79,64,0.341293871,0.341293871,"GXV",79,64
270,9,"afterRhs",0.306969372,0.034719944,103,53,0.341293871,0.341293871,79,64,0.341293871,0.341293871,"GXV",79,64
270,9,"afterNewGradV",0.306969372,0.034719944,103,53,0.341288865,0.341288865,79,64,0.341288865,0.341288865,"GXV",79,64
270,9,"afterNewGradU",0.306969372,0.034719944,103,53,0.341288865,0.341288865,79,64,0.341288865,0.341288865,"GXV",79,64
270,10,"beforeCip",0.306969372,0.034719944,103,53,0.341288865,0.341288865,79,64,0.341288865,0.341288865,"GXV",79,64
270,10,"afterCipVelocity",0.307028891,0.034712593,103,53,0.343026847,0.343026847,79,64,0.343026847,0.343026847,"GXV",79,64
270,10,"afterRhs",0.307022146,0.0347064,103,53,0.343026847,0.343026847,79,64,0.343026847,0.343026847,"GXV",79,64
270,10,"afterNewGradV",0.307022146,0.0347064,103,53,0.34302184,0.34302184,79,64,0.34302184,0.34302184,"GXV",79,64
270,10,"afterNewGradU",0.307022146,0.0347064,103,53,0.34302184,0.34302184,79,64,0.34302184,0.34302184,"GXV",79,64
270,11,"beforeCip",0.307022146,0.0347064,103,53,0.34302184,0.34302184,79,64,0.34302184,0.34302184,"GXV",79,64
270,11,"afterCipVelocity",0.307082624,0.034698476,103,53,0.344771296,0.344771296,79,64,0.344771296,0.344771296,"GXV",79,64
270,11,"afterRhs",0.307075877,0.034692711,103,53,0.344771296,0.344771296,79,64,0.344771296,0.344771296,"GXV",79,64
270,11,"afterNewGradV",0.307075877,0.034692711,103,53,0.344766289,0.344766289,79,64,0.344766289,0.344766289,"GXV",79,64
270,11,"afterNewGradU",0.307075877,0.034692711,103,53,0.344766289,0.344766289,79,64,0.344766289,0.344766289,"GXV",79,64
271,0,"beforeCip",0.307075877,0.034692711,103,53,0.344766289,0.344766289,79,64,0.344766289,0.344766289,"GXV",79,64
271,0,"afterCipVelocity",0.307137328,0.034684219,103,53,0.346527308,0.346527308,79,64,0.346527308,0.346527308,"GXV",79,64
271,0,"afterRhs",0.307130582,0.034678878,103,53,0.346527308,0.346527308,79,64,0.346527308,0.346527308,"GXV",79,64
271,0,"afterNewGradV",0.307130582,0.034678878,103,53,0.346522301,0.346522301,79,64,0.346522301,0.346522301,"GXV",79,64
271,0,"afterNewGradU",0.307130582,0.034678878,103,53,0.346522301,0.346522301,79,64,0.346522301,0.346522301,"GXV",79,64
