frame,substep,transition,dEnergy,dSpeed,dGXV,dGrad,toStage,toMaxGradName,toMaxGradX,toMaxGradY
271,0,"afterRhs->afterNewGradV",0,0,-0.000005007,-0.000005007,"afterNewGradV","GXV",79,64
271,0,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
271,1,"beforeCip->afterCipVelocity",0.000062442,-0.000009057,0.001772702,0.001772702,"afterCipVelocity","GXV",79,64
271,1,"afterCipVelocity->afterRhs",-0.000006748,-0.000004916,0,0,"afterRhs","GXV",79,64
271,1,"afterRhs->afterNewGradV",0,0,-0.000005037,-0.000005037,"afterNewGradV","GXV",79,64
271,1,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
271,2,"beforeCip->afterCipVelocity",0.000063448,-0.000009621,0.001784474,0.001784474,"afterCipVelocity","GXV",79,64
271,2,"afterCipVelocity->afterRhs",-0.000006748,-0.000004493,0,0,"afterRhs","GXV",79,64
271,2,"afterRhs->afterNewGradV",0,0,-0.000005037,-0.000005037,"afterNewGradV","GXV",79,64
271,2,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
271,3,"beforeCip->afterCipVelocity",0.000064471,-0.000010185,0.001796335,0.001796335,"afterCipVelocity","GXV",79,64
271,3,"afterCipVelocity->afterRhs",-0.000006748,-0.000004072,0,0,"afterRhs","GXV",79,64
271,3,"afterRhs->afterNewGradV",0,0,-0.000005037,-0.000005037,"afterNewGradV","GXV",79,64
271,3,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
271,4,"beforeCip->afterCipVelocity",0.000065511,-0.000010745,0.001808316,0.001808316,"afterCipVelocity","GXV",79,64
271,4,"afterCipVelocity->afterRhs",-0.000006751,-0.000003656,0,0,"afterRhs","GXV",79,64
271,4,"afterRhs->afterNewGradV",0,0,-0.000005037,-0.000005037,"afterNewGradV","GXV",79,64
